,0
0,Kawhi Leonard
1,Franz Wagner
2,Karl-Anthony Towns
3,Paolo Banchero
4,Mikal Bridges
5,Kyrie Irving
6,Julius Randle
7,Terry Rozier
8,Shai Gilgeous-Alexander
9,Jonas Valanciunas
10,Wendell Carter Jr.
11,RJ Barrett
12,Jaren Jackson Jr.
13,Kenyon Martin Jr.
14,Trae Young
15,Deandre Ayton
16,De'Aaron Fox
17,Anthony Davis
18,Tyrese Maxey
19,Joel Embiid
20,DeMar DeRozan
21,Chris Paul
22,Nikola Jokic
23,Rudy Gobert
24,Pascal Siakam
25,Fred VanVleet
26,Jordan Clarkson
27,Damian Lillard
28,Stephen Curry
29,Domantas Sabonis
30,Jayson Tatum
31,Harrison Barnes
32,Tyrese Haliburton
33,Keldon Johnson
34,Josh Hart
35,Zach LaVine
36,Mason Plumlee
37,LaMelo Ball
38,Robert Williams III
39,Andrew Wiggins
40,Paul George
41,Jaylen Brown
42,Kelly Oubre Jr.
43,Darius Garland
44,Steven Adams
45,Josh Giddey
46,Kyle Kuzma
47,Ja Morant
48,Bojan Bogdanovic
49,Brandon Ingram
50,Klay Thompson
51,Ben Simmons
52,Jusuf Nurkic
53,Spencer Dinwiddie
54,Naji Marshall
55,Scottie Barnes
56,Mitchell Robinson
57,Tobias Harris
58,Dejounte Murray
59,John Collins
60,Michael Porter Jr.
61,Evan Mobley
62,Jordan Poole
63,Bam Adebayo
64,Zion Williamson
65,Jrue Holiday
66,Jerami Grant
67,Kevin Huerter
68,Ivica Zubac
69,Kevin Porter Jr.
70,Jimmy Butler
71,Donovan Mitchell
72,Anfernee Simons
73,Bobby Portis
74,D'Angelo Russell
75,Brook Lopez
76,LeBron James
77,Myles Turner
78,Jalen Brunson
79,Thomas Bryant
80,Devin Vassell
81,O.G. Anunoby
82,Nikola Vucevic
83,Devin Booker
84,Jamal Murray
85,Jarrett Allen
86,Khris Middleton
87,Nic Claxton
88,Kristaps Porzingis
89,Buddy Hield
90,Clint Capela
91,Lauri Markkanen
92,Anthony Edwards
93,Giannis Antetokounmpo
94,Jakob Poeltl
95,Kyle Lowry
96,Bradley Beal
97,Alperen Sengun
98,Desmond Bane
99,Kevin Durant
100,Luka Doncic
101,Collin Sexton
102,James Harden
103,Jabari Smith Jr.
104,Tyler Herro
105,CJ McCollum
106,Christian Wood
107,Russell Westbrook
108,Jalen Green
109,Gary Trent Jr.
110,Draymond Green
111,Aaron Gordon