Name,Week,Tm,FPoints
Aaron Gordon  ,0.0,DEN,58
Aaron Gordon  ,1.0,DEN,65
Aaron Gordon  ,2.0,DEN,47
Aaron Gordon  ,3.0,DEN,95
Aaron Holiday  ,0.0,ATL,9
Aaron Holiday  ,1.0,ATL,38
Aaron Holiday  ,2.0,ATL,18
Aaron Holiday  ,3.0,ATL,18
Aaron Holiday  ,4.0,ATL,7
Aaron Nesmith  ,0.0,IND,21
Aaron Nesmith  ,1.0,IND,42
Aaron Nesmith  ,3.0,IND,15
Aaron Wiggins  ,0.0,OKC,17
Aaron Wiggins  ,1.0,OKC,50
Aaron Wiggins  ,2.0,OKC,0
Aaron Wiggins  ,3.0,OKC,35
Aaron Wiggins  ,4.0,OKC,6
Admiral Schofield  ,1.0,ORL,14
Admiral Schofield  ,2.0,ORL,0
Admiral Schofield  ,3.0,ORL,10
Al Horford  ,0.0,BOS,22
Al Horford  ,1.0,BOS,42
Al Horford  ,2.0,BOS,43
Al Horford  ,3.0,BOS,81
Al Horford  ,4.0,BOS,27
Alec Burks  ,3.0,DET,12
Alec Burks  ,4.0,DET,17
Aleksej Pokusevski  ,0.0,OKC,15
Aleksej Pokusevski  ,1.0,OKC,30
Aleksej Pokusevski  ,2.0,OKC,36
Aleksej Pokusevski  ,3.0,OKC,67
Aleksej Pokusevski  ,4.0,OKC,37
Alex Caruso  ,0.0,CHI,14
Alex Caruso  ,1.0,CHI,59
Alex Caruso  ,2.0,CHI,48
Alex Caruso  ,3.0,CHI,21
Alex Len  ,1.0,SAC,2
Alex Len  ,2.0,SAC,-1
Alex Len  ,4.0,SAC,5
Alperen Sengun  ,0.0,HOU,64
Alperen Sengun  ,1.0,HOU,51
Alperen Sengun  ,2.0,HOU,86
Alperen Sengun  ,3.0,HOU,60
Alperen Sengun  ,4.0,HOU,10
Amir Coffey  ,0.0,LAC,3
Amir Coffey  ,1.0,LAC,12
Amir Coffey  ,2.0,LAC,12
Amir Coffey  ,3.0,LAC,1
Amir Coffey  ,4.0,LAC,2
Andre Drummond  ,0.0,CHI,39
Andre Drummond  ,1.0,CHI,65
Andre Drummond  ,3.0,CHI,32
Andrew Nembhard  ,0.0,IND,28
Andrew Nembhard  ,1.0,IND,30
Andrew Nembhard  ,2.0,IND,7
Andrew Nembhard  ,3.0,IND,44
Andrew Wiggins  ,0.0,GSW,170
Andrew Wiggins  ,1.0,GSW,140
Andrew Wiggins  ,2.0,GSW,88
Andrew Wiggins  ,3.0,GSW,174
Andrew Wiggins  ,4.0,GSW,20
Anfernee Simons  ,0.0,POR,26
Anfernee Simons  ,1.0,POR,86
Anfernee Simons  ,2.0,POR,30
Anfernee Simons  ,3.0,POR,85
Anfernee Simons  ,4.0,POR,23
Anthony Davis  ,0.0,LAL,430
Anthony Davis  ,1.0,LAL,390
Anthony Davis  ,2.0,LAL,485
Anthony Davis  ,3.0,LAL,695
Anthony Edwards  ,0.0,MIN,222
Anthony Edwards  ,1.0,MIN,264
Anthony Edwards  ,2.0,MIN,183
Anthony Edwards  ,3.0,MIN,189
Anthony Gill  ,0.0,WAS,18
Anthony Gill  ,1.0,WAS,46
Anthony Gill  ,2.0,WAS,56
Anthony Gill  ,3.0,WAS,22
Anthony Lamb  ,1.0,GSW,5
Anthony Lamb  ,2.0,GSW,22
Anthony Lamb  ,3.0,GSW,26
Anthony Lamb  ,4.0,GSW,28
Austin Reaves  ,0.0,LAL,17
Austin Reaves  ,1.0,LAL,47
Austin Reaves  ,2.0,LAL,21
Austin Reaves  ,3.0,LAL,56
Austin Rivers  ,0.0,MIN,0
Austin Rivers  ,1.0,MIN,-1
Austin Rivers  ,2.0,MIN,0
Austin Rivers  ,3.0,MIN,10
Ayo Dosunmu  ,0.0,CHI,42
Ayo Dosunmu  ,1.0,CHI,63
Ayo Dosunmu  ,2.0,CHI,54
Ayo Dosunmu  ,3.0,CHI,31
Bam Adebayo  ,0.0,MIA,46
Bam Adebayo  ,1.0,MIA,101
Bam Adebayo  ,2.0,MIA,84
Bam Adebayo  ,3.0,MIA,84
Bam Adebayo  ,4.0,MIA,33
Ben Simmons  ,0.0,BRK,29
Ben Simmons  ,1.0,BRK,59
Ben Simmons  ,3.0,BRK,30
Ben Simmons  ,4.0,BRK,15
Bennedict Mathurin  ,0.0,IND,156
Bennedict Mathurin  ,1.0,IND,132
Bennedict Mathurin  ,2.0,IND,58
Bennedict Mathurin  ,3.0,IND,104
Bismack Biyombo  ,0.0,PHO,1
Bismack Biyombo  ,1.0,PHO,41
Bismack Biyombo  ,2.0,PHO,23
Bismack Biyombo  ,3.0,PHO,16
Bismack Biyombo  ,4.0,PHO,1
Blake Griffin  ,0.0,BOS,10
Blake Griffin  ,1.0,BOS,26
Blake Griffin  ,2.0,BOS,16
Blake Griffin  ,3.0,BOS,22
Blake Wesley  ,1.0,SAS,17
Boban Marjanovic  ,0.0,HOU,3
Boban Marjanovic  ,1.0,HOU,2
Boban Marjanovic  ,2.0,HOU,1
Boban Marjanovic  ,3.0,HOU,3
Boban Marjanovic  ,4.0,HOU,0
Bobby Portis  ,0.0,MIL,40
Bobby Portis  ,1.0,MIL,73
Bobby Portis  ,2.0,MIL,100
Bobby Portis  ,3.0,MIL,66
Bobby Portis  ,4.0,MIL,20
Bojan Bogdanovic  ,0.0,DET,66
Bojan Bogdanovic  ,1.0,DET,106
Bojan Bogdanovic  ,2.0,DET,35
Bojan Bogdanovic  ,3.0,DET,76
Bojan Bogdanovic  ,4.0,DET,14
Bol Bol  ,0.0,ORL,32
Bol Bol  ,1.0,ORL,89
Bol Bol  ,2.0,ORL,73
Bol Bol  ,3.0,ORL,55
Bol Bol  ,4.0,ORL,15
Bones Hyland  ,0.0,DEN,16
Bones Hyland  ,1.0,DEN,45
Bones Hyland  ,2.0,DEN,35
Bones Hyland  ,3.0,DEN,26
Bradley Beal  ,0.0,WAS,72
Bradley Beal  ,1.0,WAS,68
Bradley Beal  ,2.0,WAS,69
Brandon Clarke  ,0.0,MEM,26
Brandon Clarke  ,1.0,MEM,45
Brandon Clarke  ,2.0,MEM,53
Brandon Clarke  ,3.0,MEM,42
Brandon Clarke  ,4.0,MEM,32
Brandon Ingram  ,0.0,NOP,74
Brandon Ingram  ,2.0,NOP,40
Brandon Ingram  ,3.0,NOP,86
Brandon Ingram  ,4.0,NOP,20
Braxton Key  ,0.0,DET,4
Braxton Key  ,2.0,DET,1
Brook Lopez  ,0.0,MIL,38
Brook Lopez  ,1.0,MIL,70
Brook Lopez  ,2.0,MIL,83
Brook Lopez  ,3.0,MIL,64
Brook Lopez  ,4.0,MIL,11
Bruce Brown  ,0.0,DEN,32
Bruce Brown  ,1.0,DEN,61
Bruce Brown  ,2.0,DEN,39
Bruce Brown  ,3.0,DEN,62
Bruno Fernando  ,0.0,HOU,33
Bryce McGowens  ,0.0,CHO,2
Bryce McGowens  ,1.0,CHO,4
Bryce McGowens  ,2.0,CHO,12
Bryn Forbes  ,0.0,MIN,-6
Bryn Forbes  ,1.0,MIN,16
Bryn Forbes  ,3.0,MIN,17
Buddy Boeheim  ,0.0,DET,0
Buddy Hield  ,0.0,IND,50
Buddy Hield  ,1.0,IND,112
Buddy Hield  ,2.0,IND,54
Buddy Hield  ,3.0,IND,64
CJ McCollum  ,0.0,NOP,84
CJ McCollum  ,1.0,NOP,55
CJ McCollum  ,2.0,NOP,86
CJ McCollum  ,3.0,NOP,46
CJ McCollum  ,4.0,NOP,35
Cade Cunningham  ,0.0,DET,63
Cade Cunningham  ,1.0,DET,108
Cade Cunningham  ,2.0,DET,60
Cade Cunningham  ,3.0,DET,26
Caleb Houstan  ,0.0,ORL,1
Caleb Houstan  ,1.0,ORL,13
Caleb Houstan  ,2.0,ORL,5
Caleb Houstan  ,3.0,ORL,15
Caleb Houstan  ,4.0,ORL,10
Cam Reddish  ,0.0,NYK,29
Cam Reddish  ,1.0,NYK,24
Cam Reddish  ,2.0,NYK,25
Cam Reddish  ,3.0,NYK,33
Cam Reddish  ,4.0,NYK,17
Cam Thomas  ,0.0,BRK,0
Cam Thomas  ,1.0,BRK,0
Cam Thomas  ,2.0,BRK,47
Cam Thomas  ,3.0,BRK,35
Cam Thomas  ,4.0,BRK,12
Cameron Payne  ,0.0,PHO,30
Cameron Payne  ,1.0,PHO,88
Cameron Payne  ,2.0,PHO,16
Cameron Payne  ,3.0,PHO,134
Cameron Payne  ,4.0,PHO,10
Caris LeVert  ,0.0,CLE,94
Caris LeVert  ,1.0,CLE,112
Caris LeVert  ,2.0,CLE,110
Caris LeVert  ,3.0,CLE,126
Chima Moneke  ,1.0,SAC,0
Chimezie Metu  ,0.0,SAC,18
Chimezie Metu  ,1.0,SAC,8
Chimezie Metu  ,2.0,SAC,18
Chimezie Metu  ,3.0,SAC,60
Chimezie Metu  ,4.0,SAC,2
Chris Boucher  ,1.0,TOR,37
Chris Boucher  ,2.0,TOR,77
Chris Boucher  ,3.0,TOR,52
Chris Boucher  ,4.0,TOR,21
Chris Duarte  ,0.0,IND,11
Chris Duarte  ,1.0,IND,31
Chris Duarte  ,2.0,IND,32
Chris Paul  ,0.0,PHO,60
Chris Paul  ,1.0,PHO,68
Chris Paul  ,2.0,PHO,76
Chris Paul  ,3.0,PHO,6
Christian Braun  ,0.0,DEN,25
Christian Braun  ,1.0,DEN,24
Christian Braun  ,2.0,DEN,7
Christian Braun  ,3.0,DEN,18
Christian Koloko  ,0.0,TOR,8
Christian Koloko  ,1.0,TOR,23
Christian Koloko  ,2.0,TOR,37
Christian Koloko  ,3.0,TOR,13
Christian Koloko  ,4.0,TOR,11
Christian Wood  ,0.0,DAL,63
Christian Wood  ,1.0,DAL,59
Christian Wood  ,2.0,DAL,47
Christian Wood  ,3.0,DAL,25
Christian Wood  ,4.0,DAL,15
Chuma Okeke  ,0.0,ORL,24
Chuma Okeke  ,1.0,ORL,29
Chuma Okeke  ,2.0,ORL,49
Chuma Okeke  ,3.0,ORL,32
Chuma Okeke  ,4.0,ORL,11
Clint Capela  ,0.0,ATL,54
Clint Capela  ,1.0,ATL,53
Clint Capela  ,2.0,ATL,73
Clint Capela  ,3.0,ATL,112
Clint Capela  ,4.0,ATL,32
Coby White  ,0.0,CHI,18
Coby White  ,1.0,CHI,34
Cody Martin  ,0.0,CHO,0
Cole Anthony  ,0.0,ORL,94
Cole Anthony  ,1.0,ORL,42
Cole Swider  ,0.0,LAL,1
Collin Sexton  ,0.0,UTA,38
Collin Sexton  ,1.0,UTA,46
Collin Sexton  ,2.0,UTA,67
Collin Sexton  ,3.0,UTA,41
Collin Sexton  ,4.0,UTA,3
Corey Kispert  ,2.0,WAS,10
Corey Kispert  ,3.0,WAS,128
Cory Joseph  ,0.0,DET,29
Cory Joseph  ,1.0,DET,12
Cory Joseph  ,2.0,DET,12
Cory Joseph  ,3.0,DET,13
Daishen Nix  ,0.0,HOU,1
Daishen Nix  ,1.0,HOU,17
Daishen Nix  ,2.0,HOU,26
Daishen Nix  ,3.0,HOU,15
Daishen Nix  ,4.0,HOU,6
Dalano Banton  ,0.0,TOR,10
Dalano Banton  ,1.0,TOR,9
Dalano Banton  ,2.0,TOR,20
Dalano Banton  ,3.0,TOR,31
Dalano Banton  ,4.0,TOR,34
Dalen Terry  ,0.0,CHI,-4
Dalen Terry  ,1.0,CHI,-4
Dalen Terry  ,2.0,CHI,14
Dalen Terry  ,3.0,CHI,10
Damian Lillard  ,0.0,POR,95
Damian Lillard  ,1.0,POR,62
Damian Lillard  ,3.0,POR,84
Damian Lillard  ,4.0,POR,26
Daniel Gafford  ,0.0,WAS,46
Daniel Gafford  ,1.0,WAS,48
Daniel Gafford  ,2.0,WAS,58
Daniel Gafford  ,3.0,WAS,108
Danuel House Jr.  ,0.0,PHI,10
Danuel House Jr.  ,1.0,PHI,13
Danuel House Jr.  ,2.0,PHI,20
Danuel House Jr.  ,3.0,PHI,20
Dario Saric  ,0.0,PHO,-2
Dario Saric  ,2.0,PHO,42
Dario Saric  ,3.0,PHO,16
Darius Bazley  ,0.0,OKC,27
Darius Bazley  ,1.0,OKC,44
Darius Bazley  ,2.0,OKC,29
Darius Bazley  ,3.0,OKC,16
Darius Garland  ,0.0,CLE,0
Darius Garland  ,2.0,CLE,68
Darius Garland  ,3.0,CLE,91
David Duke Jr.  ,1.0,BRK,13
David Duke Jr.  ,2.0,BRK,10
David Duke Jr.  ,3.0,BRK,6
David Duke Jr.  ,4.0,BRK,1
David Roddy  ,0.0,MEM,13
David Roddy  ,1.0,MEM,22
David Roddy  ,2.0,MEM,30
David Roddy  ,3.0,MEM,23
David Roddy  ,4.0,MEM,4
Davion Mitchell  ,0.0,SAC,11
Davion Mitchell  ,1.0,SAC,9
Davion Mitchell  ,2.0,SAC,35
Davion Mitchell  ,3.0,SAC,26
Davion Mitchell  ,4.0,SAC,9
Davon Reed  ,0.0,DEN,2
Davon Reed  ,1.0,DEN,-1
Davon Reed  ,2.0,DEN,2
Davon Reed  ,3.0,DEN,5
Day'Ron Sharpe  ,0.0,BRK,19
Day'Ron Sharpe  ,1.0,BRK,13
Day'Ron Sharpe  ,2.0,BRK,5
Day'Ron Sharpe  ,3.0,BRK,9
Day'Ron Sharpe  ,4.0,BRK,13
De'Aaron Fox  ,0.0,SAC,216
De'Aaron Fox  ,1.0,SAC,112
De'Aaron Fox  ,2.0,SAC,78
De'Aaron Fox  ,3.0,SAC,244
De'Aaron Fox  ,4.0,SAC,40
De'Andre Hunter  ,0.0,ATL,46
De'Andre Hunter  ,1.0,ATL,40
De'Andre Hunter  ,2.0,ATL,39
De'Andre Hunter  ,3.0,ATL,44
De'Andre Hunter  ,4.0,ATL,21
De'Anthony Melton  ,0.0,PHI,18
De'Anthony Melton  ,1.0,PHI,76
De'Anthony Melton  ,2.0,PHI,34
De'Anthony Melton  ,3.0,PHI,33
DeAndre Jordan  ,0.0,DEN,15
DeAndre Jordan  ,1.0,DEN,47
DeAndre Jordan  ,2.0,DEN,17
DeAndre Jordan  ,3.0,DEN,28
DeMar DeRozan  ,0.0,CHI,85
DeMar DeRozan  ,1.0,CHI,87
DeMar DeRozan  ,2.0,CHI,90
DeMar DeRozan  ,3.0,CHI,57
Dean Wade  ,0.0,CLE,38
Dean Wade  ,1.0,CLE,57
Dean Wade  ,2.0,CLE,15
Dean Wade  ,3.0,CLE,14
Deandre Ayton  ,0.0,PHO,67
Deandre Ayton  ,1.0,PHO,33
Deandre Ayton  ,2.0,PHO,38
Deandre Ayton  ,3.0,PHO,43
Deandre Ayton  ,4.0,PHO,31
Dejounte Murray  ,0.0,ATL,90
Dejounte Murray  ,1.0,ATL,73
Dejounte Murray  ,2.0,ATL,112
Dejounte Murray  ,3.0,ATL,105
Dejounte Murray  ,4.0,ATL,23
Delon Wright  ,0.0,WAS,33
Delon Wright  ,1.0,WAS,14
Deni Avdija  ,0.0,WAS,25
Deni Avdija  ,1.0,WAS,29
Deni Avdija  ,2.0,WAS,23
Deni Avdija  ,3.0,WAS,59
Dennis Smith Jr.  ,0.0,CHO,58
Dennis Smith Jr.  ,1.0,CHO,52
Dennis Smith Jr.  ,2.0,CHO,60
Dennis Smith Jr.  ,3.0,CHO,44
Dereon Seabron  ,1.0,NOP,0
Derrick Rose  ,0.0,NYK,25
Derrick Rose  ,1.0,NYK,42
Derrick Rose  ,2.0,NYK,8
Derrick Rose  ,3.0,NYK,13
Derrick Rose  ,4.0,NYK,5
Derrick White  ,0.0,BOS,116
Derrick White  ,1.0,BOS,46
Derrick White  ,2.0,BOS,68
Derrick White  ,3.0,BOS,100
Derrick White  ,4.0,BOS,46
Desmond Bane  ,0.0,MEM,45
Desmond Bane  ,1.0,MEM,112
Desmond Bane  ,2.0,MEM,85
Desmond Bane  ,3.0,MEM,80
Devin Booker  ,0.0,PHO,192
Devin Booker  ,1.0,PHO,148
Devin Booker  ,2.0,PHO,126
Devin Booker  ,3.0,PHO,180
Devin Booker  ,4.0,PHO,60
Devin Vassell  ,0.0,SAS,58
Devin Vassell  ,1.0,SAS,30
Devin Vassell  ,2.0,SAS,58
Devin Vassell  ,3.0,SAS,58
Devin Vassell  ,4.0,SAS,22
Devonte' Graham  ,0.0,NOP,9
Devonte' Graham  ,1.0,NOP,50
Devonte' Graham  ,2.0,NOP,6
Devonte' Graham  ,3.0,NOP,30
Devonte' Graham  ,4.0,NOP,2
Dewayne Dedmon  ,0.0,MIA,18
Dewayne Dedmon  ,1.0,MIA,3
Dewayne Dedmon  ,2.0,MIA,38
Dewayne Dedmon  ,3.0,MIA,32
Dewayne Dedmon  ,4.0,MIA,17
Dillon Brooks  ,1.0,MEM,33
Dillon Brooks  ,2.0,MEM,59
Dillon Brooks  ,3.0,MEM,55
Dillon Brooks  ,4.0,MEM,11
Domantas Sabonis  ,0.0,SAC,75
Domantas Sabonis  ,1.0,SAC,56
Domantas Sabonis  ,2.0,SAC,96
Domantas Sabonis  ,3.0,SAC,147
Domantas Sabonis  ,4.0,SAC,30
Dominick Barlow  ,2.0,SAS,4
Donovan Mitchell  ,0.0,CLE,104
Donovan Mitchell  ,1.0,CLE,105
Donovan Mitchell  ,2.0,CLE,57
Donovan Mitchell  ,3.0,CLE,117
Donte DiVincenzo  ,0.0,GSW,10
Donte DiVincenzo  ,3.0,GSW,12
Donte DiVincenzo  ,4.0,GSW,5
Dorian Finney-Smith  ,0.0,DAL,20
Dorian Finney-Smith  ,1.0,DAL,48
Dorian Finney-Smith  ,2.0,DAL,15
Dorian Finney-Smith  ,3.0,DAL,42
Dorian Finney-Smith  ,4.0,DAL,26
Doug McDermott  ,0.0,SAS,34
Doug McDermott  ,1.0,SAS,54
Doug McDermott  ,2.0,SAS,15
Doug McDermott  ,3.0,SAS,26
Doug McDermott  ,4.0,SAS,3
Draymond Green  ,0.0,GSW,48
Draymond Green  ,1.0,GSW,70
Draymond Green  ,2.0,GSW,35
Draymond Green  ,3.0,GSW,54
Draymond Green  ,4.0,GSW,12
Drew Eubanks  ,0.0,POR,19
Drew Eubanks  ,1.0,POR,21
Drew Eubanks  ,2.0,POR,24
Drew Eubanks  ,3.0,POR,52
Drew Eubanks  ,4.0,POR,17
Dru Smith  ,1.0,MIA,2
Duncan Robinson  ,0.0,MIA,24
Duncan Robinson  ,1.0,MIA,20
Duncan Robinson  ,2.0,MIA,24
Duncan Robinson  ,3.0,MIA,24
Duncan Robinson  ,4.0,MIA,6
Dwight Powell  ,0.0,DAL,0
Dwight Powell  ,1.0,DAL,22
Dwight Powell  ,2.0,DAL,23
Dwight Powell  ,3.0,DAL,36
Dwight Powell  ,4.0,DAL,7
Dyson Daniels  ,0.0,NOP,1
Dyson Daniels  ,1.0,NOP,19
Dyson Daniels  ,2.0,NOP,14
Dyson Daniels  ,3.0,NOP,2
Dyson Daniels  ,4.0,NOP,12
Edmond Sumner  ,0.0,BRK,4
Edmond Sumner  ,1.0,BRK,14
Edmond Sumner  ,2.0,BRK,31
Edmond Sumner  ,3.0,BRK,50
Edmond Sumner  ,4.0,BRK,17
Eric Gordon  ,0.0,HOU,25
Eric Gordon  ,1.0,HOU,51
Eric Gordon  ,2.0,HOU,26
Eric Gordon  ,3.0,HOU,50
Eric Gordon  ,4.0,HOU,1
Eugene Omoruyi  ,0.0,OKC,40
Eugene Omoruyi  ,1.0,OKC,0
Eugene Omoruyi  ,2.0,OKC,-4
Eugene Omoruyi  ,3.0,OKC,54
Evan Fournier  ,0.0,NYK,28
Evan Fournier  ,1.0,NYK,51
Evan Fournier  ,2.0,NYK,8
Evan Fournier  ,3.0,NYK,8
Evan Mobley  ,0.0,CLE,48
Evan Mobley  ,1.0,CLE,68
Evan Mobley  ,2.0,CLE,48
Evan Mobley  ,3.0,CLE,88
Facundo Campazzo  ,1.0,DAL,7
Facundo Campazzo  ,3.0,DAL,0
Frank Kaminsky  ,1.0,ATL,3
Frank Kaminsky  ,2.0,ATL,4
Frank Kaminsky  ,3.0,ATL,9
Franz Wagner  ,0.0,ORL,144
Franz Wagner  ,1.0,ORL,153
Franz Wagner  ,2.0,ORL,201
Franz Wagner  ,3.0,ORL,204
Franz Wagner  ,4.0,ORL,66
Fred VanVleet  ,0.0,TOR,77
Fred VanVleet  ,1.0,TOR,52
Fred VanVleet  ,2.0,TOR,42
Fred VanVleet  ,3.0,TOR,81
Furkan Korkmaz  ,1.0,PHI,1
Furkan Korkmaz  ,2.0,PHI,3
Furkan Korkmaz  ,3.0,PHI,11
Gabe Vincent  ,0.0,MIA,27
Gabe Vincent  ,1.0,MIA,29
Gabe Vincent  ,2.0,MIA,37
Gabe Vincent  ,3.0,MIA,46
Gabe Vincent  ,4.0,MIA,13
Garrett Temple  ,1.0,NOP,9
Garrison Mathews  ,0.0,HOU,3
Garrison Mathews  ,1.0,HOU,27
Garrison Mathews  ,2.0,HOU,16
Garrison Mathews  ,3.0,HOU,5
Garrison Mathews  ,4.0,HOU,1
Gary Trent Jr.  ,0.0,TOR,94
Gary Trent Jr.  ,1.0,TOR,106
Gary Trent Jr.  ,2.0,TOR,106
Gary Trent Jr.  ,3.0,TOR,80
George Hill  ,0.0,MIL,20
George Hill  ,1.0,MIL,28
George Hill  ,2.0,MIL,14
George Hill  ,3.0,MIL,19
George Hill  ,4.0,MIL,6
Georges Niang  ,0.0,PHI,10
Georges Niang  ,1.0,PHI,45
Georges Niang  ,2.0,PHI,33
Georges Niang  ,3.0,PHI,51
Giannis Antetokounmpo  ,0.0,MIL,188
Giannis Antetokounmpo  ,1.0,MIL,274
Giannis Antetokounmpo  ,2.0,MIL,226
Giannis Antetokounmpo  ,3.0,MIL,40
Giannis Antetokounmpo  ,4.0,MIL,24
Goga Bitadze  ,0.0,IND,43
Goga Bitadze  ,1.0,IND,15
Goga Bitadze  ,2.0,IND,6
Goga Bitadze  ,3.0,IND,-1
Goran Dragic  ,0.0,CHI,29
Goran Dragic  ,1.0,CHI,34
Goran Dragic  ,2.0,CHI,57
Goran Dragic  ,3.0,CHI,39
Gordon Hayward  ,0.0,CHO,57
