G,Date,Age,Opp,W/L,At,Name,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
3,2022-10-22,23-033,MIA,L (-3),@,Precious Achiuwa 2022-23 Advanced Game Log ,0.0,33.53333333333333,5.0,9.0,2.0,5.0,6.0,7.0,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,18.0,16.0,0.745,0.667,9.3,32.7,19.4,4.8,0.0,0.0,7.6,17.8,146.0,122.0,17.1,0.5
3,2022-10-22,29-094,DAL,L (-41),@,Steven Adams 2022-23 Advanced Game Log ,1.0,22.316666666666666,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,-30.0,0.258,0.333,5.0,17.0,10.6,6.8,2.2,16.9,43.6,13.9,43.0,127.0,2.2,-8.2
3,2022-10-22,25-096,TOR,W (+3),,Bam Adebayo 2022-23 Advanced Game Log ,1.0,35.7,4.0,6.0,0.0,1.0,2.0,2.0,0.0,7.0,7.0,1.0,0.0,0.0,3.0,3.0,10.0,5.0,0.727,0.667,0.0,20.5,11.6,4.1,0.0,0.0,30.4,12.9,96.0,116.0,6.0,-7.1
3,2022-10-22,21-285,DAL,L (-41),@,Santi Aldama 2022-23 Advanced Game Log ,1.0,20.783333333333335,2.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,5.0,8.0,-10.0,0.752,0.625,10.7,24.3,17.1,0.0,0.0,0.0,27.3,15.9,115.0,137.0,4.6,-9.6
3,2022-10-23,24-185,WAS,W (+10),,Jarrett Allen 2022-23 Advanced Game Log ,1.0,37.516666666666666,6.0,13.0,0.0,0.0,3.0,4.0,6.0,8.0,14.0,3.0,0.0,2.0,0.0,2.0,15.0,-1.0,0.508,0.462,18.0,31.4,23.8,13.0,0.0,4.8,0.0,17.4,136.0,104.0,17.2,1.6
3,2022-10-23,24-194,UTA,L (-1),,Jose Alvarado 2022-23 Advanced Game Log ,0.0,24.166666666666668,3.0,6.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,7.0,-5.0,0.583,0.583,0.0,14.3,7.4,21.2,2.0,3.7,33.3,15.3,91.0,112.0,6.0,0.0
3,2022-10-22,25-097,MIA,L (-3),@,OG Anunoby 2022-23 Advanced Game Log ,1.0,38.35,5.0,14.0,3.0,6.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,1.0,0.0,3.0,13.0,4.0,0.464,0.464,2.7,28.6,13.9,0.0,1.3,2.7,0.0,16.6,94.0,117.0,8.8,-7.2
3,2022-10-23,21-293,CLE,L (-10),@,Deni Avdija 2022-23 Advanced Game Log ,1.0,14.45,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,0.167,0.167,0.0,15.6,8.8,0.0,7.2,0.0,14.3,23.0,29.0,102.0,-1.8,-19.5
3,2022-10-23,24-092,LAC,W (+17),@,Deandre Ayton 2022-23 Advanced Game Log ,1.0,28.75,6.0,11.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,0.0,1.0,4.0,5.0,13.0,7.0,0.568,0.545,7.1,22.3,14.5,5.1,0.0,3.3,25.9,23.4,89.0,99.0,6.3,-9.1
3,2022-10-22,24-163,BOS,L (-6),,Mo Bamba 2022-23 Advanced Game Log ,0.0,11.7,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.5,0.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.8,124.0,136.0,1.2,-8.8
3,2022-10-22,24-119,DAL,L (-41),@,Desmond Bane 2022-23 Advanced Game Log ,1.0,27.25,4.0,11.0,2.0,5.0,4.0,4.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,14.0,-8.0,0.549,0.455,0.0,23.2,10.9,26.1,1.8,0.0,7.3,22.7,112.0,133.0,11.4,-1.0
3,2022-10-22,22-349,MIA,L (-3),@,Dalano Banton 2022-23 Advanced Game Log ,0.0,5.55,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-3.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,18.8,0.0,16.4,133.0,112.0,2.3,7.5
3,2022-10-23,30-146,GSW,L (-5),@,Harrison Barnes 2022-23 Advanced Game Log ,1.0,21.45,1.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,-18.0,0.725,1.0,0.0,10.2,5.1,0.0,2.1,0.0,42.0,8.4,74.0,121.0,2.1,-7.3
3,2022-10-22,21-082,MIA,L (-3),@,Scottie Barnes 2022-23 Advanced Game Log ,1.0,13.233333333333333,5.0,9.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,-8.0,0.533,0.556,7.9,10.4,9.0,38.5,0.0,7.9,8.8,39.0,103.0,119.0,7.6,0.6
3,2022-10-23,31-290,CLE,L (-10),@,Will Barton 2022-23 Advanced Game Log ,0.0,35.43333333333333,4.0,11.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,5.0,2.0,9.0,-7.0,0.409,0.409,0.0,12.7,7.2,8.1,2.9,0.0,31.3,21.4,59.0,114.0,1.7,-11.8
3,2022-10-22,26-272,PHI,W (+9),@,Keita Bates-Diop 2022-23 Advanced Game Log ,0.0,4.033333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,300.0,122.0,2.7,16.1
3,2022-10-23,33-313,PHO,L (-17),,Nicolas Batum 2022-23 Advanced Game Log ,0.0,14.05,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,-4.0,0.5,0.5,0.0,21.8,11.1,0.0,0.0,0.0,0.0,9.8,103.0,121.0,1.8,-5.8
3,2022-10-23,22-133,MIN,L (-10),,Darius Bazley 2022-23 Advanced Game Log ,0.0,4.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,124.0,-0.7,-19.1
3,2022-10-23,29-117,CLE,L (-10),@,Bradley Beal 2022-23 Advanced Game Log ,1.0,41.583333333333336,11.0,16.0,0.0,1.0,5.0,7.0,1.0,3.0,4.0,5.0,2.0,0.0,6.0,3.0,27.0,-5.0,0.708,0.688,3.5,8.1,6.1,22.0,2.5,0.0,23.9,28.6,111.0,117.0,19.3,0.0
3,2022-10-23,25-331,NOP,W (+1),@,Malik Beasley 2022-23 Advanced Game Log ,0.0,20.966666666666665,2.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,0.368,0.4,0.0,5.9,2.8,13.3,2.4,0.0,26.9,14.9,67.0,117.0,1.2,-9.2
3,2022-10-23,34-103,POR,L (-2),,Patrick Beverley 2022-23 Advanced Game Log ,1.0,29.516666666666666,1.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,1.0,0.0,2.0,3.0,7.0,7.0,0.735,0.5,3.3,11.3,7.1,20.7,1.6,0.0,29.6,9.7,126.0,109.0,8.2,-0.6
3,2022-10-22,23-196,IND,L (-9),@,Saddiq Bey 2022-23 Advanced Game Log ,1.0,36.38333333333333,5.0,16.0,2.0,8.0,8.0,8.0,4.0,7.0,11.0,3.0,1.0,0.0,1.0,1.0,20.0,5.0,0.512,0.375,9.4,16.5,13.0,13.0,1.3,0.0,4.9,22.3,123.0,120.0,17.4,-1.8
3,2022-10-22,23-094,DET,W (+9),,Goga Bitadze 2022-23 Advanced Game Log ,0.0,25.4,6.0,8.0,1.0,3.0,1.0,4.0,8.0,7.0,15.0,4.0,1.0,1.0,1.0,3.0,14.0,8.0,0.717,0.813,27.0,23.6,25.3,22.5,1.9,3.6,9.3,16.3,154.0,108.0,19.6,7.1
3,2022-10-22,33-187,IND,L (-9),@,Bojan Bogdanović 2022-23 Advanced Game Log ,1.0,32.483333333333334,5.0,16.0,4.0,10.0,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,16.0,-4.0,0.474,0.438,2.6,5.3,4.0,25.0,0.0,0.0,0.0,20.6,120.0,129.0,11.2,-2.4
3,2022-10-22,22-340,BOS,L (-6),,Bol Bol 2022-23 Advanced Game Log ,0.0,14.866666666666667,3.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.0,6.0,9.0,0.429,0.429,0.0,37.5,19.0,0.0,0.0,32.3,0.0,19.8,94.0,108.0,5.8,-3.4
3,2022-10-23,25-358,LAC,W (+17),@,Devin Booker 2022-23 Advanced Game Log ,1.0,34.81666666666667,13.0,21.0,5.0,9.0,4.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,35.0,13.0,0.769,0.738,2.9,0.0,1.5,22.0,1.5,0.0,11.6,32.2,136.0,105.0,26.6,14.5
3,2022-10-23,22-035,ATL,W (+17),@,James Bouknight 2022-23 Advanced Game Log ,0.0,17.666666666666668,3.0,9.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,20.0,0.506,0.444,0.0,5.0,2.8,14.0,2.7,0.0,0.0,23.1,124.0,111.0,6.0,-3.4
3,2022-10-23,26-054,LAC,W (+17),@,Mikal Bridges 2022-23 Advanced Game Log ,1.0,36.483333333333334,3.0,9.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,7.0,9.0,0.389,0.389,2.8,8.8,5.7,13.5,0.0,2.6,10.0,11.9,98.0,104.0,4.8,-4.5
3,2022-10-22,29-315,ORL,W (+6),@,Malcolm Brogdon 2022-23 Advanced Game Log ,0.0,20.666666666666668,4.0,10.0,1.0,4.0,4.0,5.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,13.0,-2.0,0.533,0.45,5.4,5.5,5.5,28.4,0.0,0.0,14.1,30.7,110.0,129.0,8.6,-8.6
3,2022-10-22,25-363,ORL,W (+6),@,Jaylen Brown 2022-23 Advanced Game Log ,1.0,37.5,4.0,16.0,1.0,6.0,3.0,4.0,1.0,8.0,9.0,4.0,1.0,1.0,2.0,1.0,12.0,14.0,0.338,0.281,3.0,24.4,13.6,13.9,1.3,2.1,10.1,23.6,80.0,120.0,7.2,-12.4
3,2022-10-22,26-068,OKC,W (+5),,Bruce Brown 2022-23 Advanced Game Log ,0.0,26.25,2.0,8.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,-5.0,0.282,0.313,4.0,3.9,3.9,14.3,0.0,3.3,0.0,13.9,85.0,117.0,2.8,-8.6
3,2022-10-22,33-038,TOR,W (+3),,Jimmy Butler 2022-23 Advanced Game Log ,1.0,34.833333333333336,7.0,16.0,1.0,1.0,9.0,11.0,1.0,3.0,4.0,5.0,0.0,0.0,2.0,2.0,24.0,6.0,0.576,0.469,3.9,9.0,6.8,24.3,0.0,0.0,8.8,30.6,118.0,119.0,17.1,-1.7
3,2022-10-22,29-246,OKC,W (+5),,Kentavious Caldwell-Pope 2022-23 Advanced Game Log ,1.0,31.916666666666668,7.0,13.0,6.0,10.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,5.0,21.0,16.0,0.781,0.769,0.0,16.0,8.1,9.6,0.0,0.0,13.0,19.9,122.0,116.0,13.6,1.1
3,2022-10-23,28-158,CHO,L (-17),,Clint Capela 2022-23 Advanced Game Log ,1.0,22.95,6.0,8.0,0.0,0.0,2.0,2.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,4.0,14.0,-19.0,0.788,0.75,19.4,24.3,21.6,7.9,2.1,3.3,10.1,17.3,153.0,121.0,15.6,4.2
3,2022-10-22,23-189,BOS,L (-6),,Wendell Carter Jr. 2022-23 Advanced Game Log ,1.0,34.93333333333333,6.0,13.0,1.0,1.0,2.0,4.0,5.0,7.0,12.0,5.0,0.0,1.0,3.0,5.0,15.0,-4.0,0.508,0.5,16.4,22.4,19.4,18.7,0.0,3.4,16.9,21.4,112.0,130.0,12.3,-6.1
3,2022-10-22,28-236,CLE,L (-32),,Alex Caruso 2022-23 Advanced Game Log ,0.0,16.6,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,-15.0,0.532,0.0,0.0,17.5,7.0,17.0,3.0,5.0,34.7,7.9,94.0,129.0,3.6,-5.0
3,2022-10-22,20-318,MIL,L (-20),@,Josh Christopher 2022-23 Advanced Game Log ,0.0,15.916666666666666,1.0,5.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,-15.0,0.255,0.2,5.6,7.5,6.4,9.1,0.0,0.0,14.5,18.1,64.0,132.0,-0.2,-19.7
3,2022-10-22,26-033,DAL,L (-41),@,Brandon Clarke 2022-23 Advanced Game Log ,0.0,16.783333333333335,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,8.0,-2.0,0.571,0.571,0.0,22.6,10.6,12.7,0.0,5.6,12.5,21.5,97.0,135.0,5.2,-5.1
3,2022-10-23,30-138,NOP,W (+1),@,Jordan Clarkson 2022-23 Advanced Game Log ,1.0,36.733333333333334,7.0,19.0,3.0,10.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,3.0,0.0,18.0,4.0,0.453,0.447,0.0,3.4,1.6,26.3,0.0,1.9,13.1,26.1,96.0,121.0,9.3,-3.8
3,2022-10-23,25-030,CHO,L (-17),,John Collins 2022-23 Advanced Game Log ,1.0,38.483333333333334,3.0,12.0,0.0,7.0,4.0,4.0,2.0,8.0,10.0,1.0,1.0,4.0,1.0,2.0,10.0,-11.0,0.363,0.25,4.6,23.2,12.9,3.5,1.2,7.8,6.8,15.4,87.0,121.0,9.3,-7.6
3,2022-10-22,24-337,PHI,W (+9),@,Zach Collins 2022-23 Advanced Game Log ,0.0,8.283333333333333,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,-6.0,1.5,1.5,14.5,27.0,20.9,15.6,0.0,0.0,50.0,10.6,138.0,112.0,3.3,3.7
3,2022-10-23,35-012,NOP,W (+1),@,Mike Conley 2022-23 Advanced Game Log ,1.0,36.3,3.0,12.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,1.0,1.0,1.0,7.0,-13.0,0.292,0.292,0.0,6.8,3.3,30.2,0.0,1.9,7.7,15.0,92.0,120.0,5.3,-6.9
3,2022-10-23,31-313,PHO,L (-17),,Robert Covington 2022-23 Advanced Game Log ,0.0,14.25,1.0,5.0,1.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,-5.0,0.3,0.3,7.5,21.5,14.6,0.0,0.0,0.0,0.0,16.1,76.0,121.0,0.7,-11.1
3,2022-10-23,31-308,LAC,W (+17),@,Torrey Craig 2022-23 Advanced Game Log ,0.0,24.833333333333332,3.0,7.0,2.0,5.0,0.0,0.0,3.0,6.0,9.0,2.0,0.0,0.0,0.0,1.0,8.0,1.0,0.571,0.571,12.3,25.8,18.9,10.4,0.0,0.0,0.0,12.3,142.0,101.0,9.2,3.1
3,2022-10-22,21-027,IND,L (-9),@,Cade Cunningham 2022-23 Advanced Game Log ,1.0,33.05,8.0,19.0,4.0,8.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,2.0,3.0,22.0,4.0,0.553,0.526,5.2,5.2,5.2,22.9,1.4,0.0,9.1,26.2,115.0,126.0,14.5,-1.8
3,2022-10-23,34-223,SAC,W (+5),,Stephen Curry 2022-23 Advanced Game Log ,1.0,31.35,11.0,22.0,7.0,12.0,4.0,4.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,33.0,19.0,0.694,0.659,0.0,17.4,8.7,10.9,1.4,0.0,7.8,34.0,124.0,115.0,22.7,6.2
3,2022-10-23,29-226,POR,L (-2),,Anthony Davis 2022-23 Advanced Game Log ,1.0,36.266666666666666,9.0,17.0,0.0,3.0,4.0,4.0,5.0,5.0,10.0,3.0,2.0,6.0,1.0,5.0,22.0,3.0,0.586,0.529,13.5,15.4,14.4,13.7,2.6,13.9,5.1,23.0,125.0,98.0,24.0,9.2
3,2022-10-22,33-076,CLE,L (-32),,DeMar DeRozan 2022-23 Advanced Game Log ,1.0,32.516666666666666,3.0,9.0,0.0,0.0,7.0,7.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,13.0,-6.0,0.538,0.333,0.0,8.9,3.6,5.0,3.1,0.0,0.0,17.0,119.0,134.0,10.4,-7.7
3,2022-10-22,33-071,TOR,W (+3),,Dewayne Dedmon 2022-23 Advanced Game Log ,0.0,12.333333333333334,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,1.0,11.1,16.9,14.4,11.4,0.0,0.0,50.0,7.6,120.0,116.0,1.9,-5.3
3,2022-10-23,25-265,SAC,W (+5),,Donte DiVincenzo 2022-23 Advanced Game Log ,0.0,10.7,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,-1.0,0.694,0.5,0.0,0.0,0.0,11.1,0.0,0.0,41.0,18.9,90.0,123.0,1.7,-9.8
3,2022-10-22,24-083,IND,L (-9),@,Hamidou Diallo 2022-23 Advanced Game Log ,0.0,6.15,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,27.9,13.9,42.2,0.0,0.0,0.0,12.9,62.0,117.0,0.6,-10.0
3,2022-10-23,23-187,MIN,L (-10),,Luguentz Dort 2022-23 Advanced Game Log ,1.0,29.9,6.0,15.0,2.0,7.0,6.0,6.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,20.0,-29.0,0.567,0.467,3.0,7.5,5.0,10.2,3.2,0.0,10.2,27.6,109.0,114.0,14.2,0.9
3,2022-10-22,22-278,CLE,L (-32),,Ayo Dosunmu 2022-23 Advanced Game Log ,1.0,27.5,2.0,7.0,1.0,4.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,5.0,-5.0,0.357,0.357,3.5,15.9,8.4,17.2,0.0,0.0,0.0,11.6,96.0,140.0,3.4,-11.5
3,2022-10-22,36-169,CLE,L (-32),,Goran Dragić 2022-23 Advanced Game Log ,0.0,11.416666666666666,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,-16.0,0.5,0.5,0.0,25.5,10.1,49.3,0.0,0.0,20.0,20.0,98.0,138.0,3.3,-10.0
3,2022-10-22,29-073,CLE,L (-32),,Andre Drummond 2022-23 Advanced Game Log ,0.0,13.1,3.0,8.0,0.0,1.0,2.0,2.0,3.0,4.0,7.0,0.0,2.0,0.0,3.0,2.0,8.0,-16.0,0.45,0.375,22.0,44.4,30.9,0.0,7.6,0.0,25.3,41.5,79.0,118.0,5.1,-13.6
3,2022-10-22,25-131,DET,W (+9),,Chris Duarte 2022-23 Advanced Game Log ,0.0,21.25,3.0,14.0,1.0,7.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,9.0,13.0,0.302,0.25,0.0,8.1,4.0,11.8,0.0,4.3,6.3,28.8,77.0,121.0,0.9,-20.2
3,2022-10-23,21-079,OKC,W (+10),@,Anthony Edwards 2022-23 Advanced Game Log ,1.0,33.53333333333333,13.0,19.0,3.0,7.0,1.0,3.0,2.0,9.0,11.0,3.0,1.0,0.0,5.0,4.0,30.0,22.0,0.738,0.763,6.7,24.3,16.4,15.7,1.4,0.0,19.7,32.2,118.0,104.0,21.7,4.7
3,2022-10-22,28-220,SAS,L (-9),,Joel Embiid 2022-23 Advanced Game Log ,1.0,35.95,14.0,25.0,0.0,2.0,12.0,15.0,3.0,10.0,13.0,3.0,1.0,2.0,2.0,2.0,40.0,6.0,0.633,0.56,9.3,33.4,20.9,21.9,1.4,5.2,6.0,41.4,130.0,114.0,33.7,9.8
3,2022-10-23,25-264,LAL,W (+2),@,Drew Eubanks 2022-23 Advanced Game Log ,0.0,13.483333333333333,0.0,1.0,0.0,0.0,4.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,-3.0,0.549,0.0,16.6,7.3,11.6,0.0,0.0,6.0,0.0,11.3,142.0,105.0,4.9,0.2
3,2022-10-23,29-092,OKC,W (+10),@,Bryn Forbes 2022-23 Advanced Game Log ,0.0,11.966666666666667,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,115.0,-2.1,-17.7
3,2022-10-23,24-307,GSW,L (-5),@,De'Aaron Fox 2022-23 Advanced Game Log ,1.0,36.35,11.0,20.0,1.0,6.0,3.0,3.0,1.0,4.0,5.0,10.0,1.0,0.0,3.0,4.0,26.0,-7.0,0.61,0.575,3.0,12.0,7.5,40.7,1.2,0.0,12.3,25.3,125.0,122.0,21.7,3.0
3,2022-10-23,24-022,CLE,L (-10),@,Daniel Gafford 2022-23 Advanced Game Log ,0.0,14.8,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,-11.0,0.5,0.5,9.9,7.6,8.6,0.0,0.0,5.7,33.3,9.6,80.0,120.0,0.9,-9.9
3,2022-10-23,36-067,NOP,W (+1),@,Rudy Gay 2022-23 Advanced Game Log ,0.0,15.983333333333333,2.0,5.0,1.0,3.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,3.0,5.0,6.0,0.5,0.5,14.4,15.4,14.9,18.2,6.2,0.0,28.6,18.4,95.0,105.0,4.5,-0.1
3,2022-10-23,32-174,PHO,L (-17),,Paul George 2022-23 Advanced Game Log ,1.0,33.666666666666664,4.0,11.0,2.0,6.0,6.0,6.0,0.0,7.0,7.0,4.0,2.0,0.0,2.0,2.0,16.0,-7.0,0.587,0.455,0.0,21.2,10.8,18.8,3.0,0.0,12.8,21.3,115.0,114.0,14.0,3.3
3,2022-10-23,20-013,MIN,L (-10),,Josh Giddey 2022-23 Advanced Game Log ,1.0,21.7,5.0,11.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,2.0,10.0,-15.0,0.455,0.455,0.0,10.3,4.6,36.9,0.0,0.0,21.4,27.1,84.0,120.0,4.6,-7.7
3,2022-10-23,30-006,CLE,L (-10),@,Anthony Gill 2022-23 Advanced Game Log ,0.0,10.05,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-9.0,0.333,0.333,0.0,22.4,12.7,0.0,0.0,0.0,0.0,14.2,66.0,117.0,0.5,-12.3
3,2022-10-23,30-119,OKC,W (+10),@,Rudy Gobert 2022-23 Advanced Game Log ,1.0,24.616666666666667,7.0,9.0,0.0,1.0,1.0,3.0,2.0,13.0,15.0,1.0,0.0,1.0,1.0,2.0,15.0,-1.0,0.727,0.778,9.1,47.8,30.5,6.0,0.0,3.7,8.8,19.6,136.0,98.0,15.6,5.0
